"country","vil_id","rain","average","dev","pop","dist","nomkt","vdsa_hh_id","tot_acre","genderH","ageH","noadultM","noadultF","nokids","sizehh","farm_cat","aindex","lindex","prcl_id","sur_yr","plot_area","output","price","value","lab_q","fert_q","irr_q","mech_v","pest_v","var1","lny","lnl","lnf","lni","lnm","lnp","irr","lnaindex","lnlindex","lntot_acre","lndist"
"India",119,NA,NA,NA,3600,5,4,119035,1.22000002861023,0,62,2,3,1,6,"SM",-0.226644888520241,-0.400094747543335,119035032,2012,0.101171500980854,280,13.5,3780,30.3500003814697,31,5.5,590,0,1,8.61887498901814,6.39688466131577,6.41807522045017,4.6889180270519,9.36420789746049,0,1,-0.224748037360359,-0.390123289219081,1.02871414099731,2.31243834127275
"India",119,495.66,577.355273529412,0.858500861990914,3600,5,4,119034,0.870000004768372,0,56,3,4,0,7,"SM",-1.36603343486786,-1.05034697055817,119034008,2011,0.242811620235443,900,12.8500003814697,11565,24,24,0.375,454,0,1,8.91101132373372,5.28669596076374,5.28669596076374,1.2191461009137,8.22671381176407,0,1,-1.1180795258547,-0.91653000118361,0.786401180898749,2.31243834127275
"India",119,470.766,577.355273529412,0.815383562918159,3600,5,4,119034,1.14999997615814,0,55,3,4,0,7,"SM",-1.17133259773254,-1.03876948356628,119034072,2010,0.0930777862668037,90,12,1080,32,36,0,276.800003051758,0,1,7.56727684223631,6.53320492241401,6.65098751416178,0,8.69076216755193,0,0,-0.997490544500284,-0.908523784124828,0.983566138164836,2.31243834127275
"India",120,470.766,577.355273529412,0.815383562918159,4494,15,4,120048,1.79999995231628,0,63,1,2,2,5,"MD",0.0743499398231506,-0.11976070702076,120048008,2010,0.101171500980854,169,10,1690,21.2099990844727,15,0,168,120,1,8.11398415772753,6.03856376677591,5.69214692708739,0,8.10804942327749,7.77157727369428,0,0.0742816096558688,-0.119476258581446,1.35044071711771,3.40230664548059
"India",119,495.66,577.355273529412,0.858500861990914,3600,5,4,119034,0.870000004768372,0,56,3,4,0,7,"SM",-1.36603343486786,-1.05034697055817,119034072,2011,0.364217408001423,780,12.8500003814697,10023,37.5,42,0.625,610,0,1,8.36244546966685,5.32751601060616,5.4408399134424,1.30890854351163,8.11661054176651,0,1,-1.1180795258547,-0.91653000118361,0.786401180898749,2.31243834127275
"India",137,NA,NA,NA,880,13,2,137032,5,0,48,2,2,2,6,"SM",-0.341975927352905,0.00720872636884451,137032064,2010,0.708200514316559,1120,11,12320,142,125,0,1400,0,1,8.05925925788074,5.9940084695362,5.86649695560708,0,8.28240277321017,0,0,-0.335638541773704,0.00720866393584279,2.31243834127275,3.25957255626292
"India",119,NA,NA,NA,3600,5,4,119039,1.07000005245209,0,52,2,3,1,6,"SM",-1.37814056873322,-0.419596433639526,119039032,2012,0.0607029013335705,120,13.5,1620,17.6800003051758,16,2,327,0,1,8.28240277145677,6.36734798625591,6.26750328540087,4.18828836838285,9.28487114421419,0,1,-1.12521049114963,-0.408168100066697,0.930015239484823,2.31243834127275
"India",118,464.9214,500.705052941177,0.928533469492707,3000,4.5,4,118030,1.10000002384186,0,77,3,4,1,8,"SM",-0.828986763954163,0.199576675891876,118030008,2011,0.594888433814049,18600,12.8000001907349,238080,60,99,1.25,1234,0,1,11.0434454377298,5.30689771493961,5.80765745472755,1.48801338971405,8.33054484033876,0,1,-0.755143439734475,0.198274990023338,0.950346945858903,2.20934770861533
"India",119,NA,NA,NA,3600,5,4,119035,1.22000002861023,0,62,2,3,1,6,"SM",-0.226644888520241,-0.400094747543335,119035096,2012,0.044515460729599,130,13.5,1755,25.3999996185303,34,6,377,0,1,8.67260037835421,7.03981582547147,7.33142685175291,5.596839128822,9.73731108951826,0,1,-0.224748037360359,-0.390123289219081,1.02871414099731,2.31243834127275
"India",119,470.766,577.355273529412,0.815383562918159,3600,5,4,119035,0.75,0,60,2,3,1,6,"SM",-0.647680819034576,-0.71943211555481,119035032,2010,0.101171500980854,80,11,880,35.2000007629395,45,0,315,0,1,7.36611238771423,6.54513352272418,6.79074910664084,0,8.73665801782431,0,0,-0.60927878109729,-0.668513306974445,0.693147180559945,2.31243834127275
"India",118,464.9214,500.705052941177,0.928533469492707,3000,4.5,4,118030,1.10000002384186,0,77,3,4,1,8,"SM",-0.828986763954163,0.199576675891876,118030032,2011,0.291373930871487,900,12.8000001907349,11520,36.5,52,0.239999994635582,600,0,1,8.72868982097325,5.5236232231166,5.87754659930294,0.751055576503491,8.32322474561924,0,1,-0.755143439734475,0.198274990023338,0.950346945858903,2.20934770861533
"India",119,NA,NA,NA,3600,5,4,119038,0.730000019073486,0,62,4,4,0,8,"SM",-1.24496173858643,-0.431173861026764,119038008,2012,0.0809372067451477,170,13.5,2295,24.9300003051758,22,3.75,382,0,1,8.34302732459911,6.42330337571535,6.29827466791583,4.52910110974974,9.15264945071036,0,1,-1.04444176375027,-0.418821659592531,0.677070347336243,2.31243834127275
"India",135,NA,NA,NA,876,12,2,135203,3.5,0,47,3,5,0,8,"SM",-0.0867461338639259,-1.03876948356628,135203040,2012,0.809372007846832,1800,14.1099996566772,25398,148,200,2,4400,0,1,8.40018580596058,5.90186356196141,6.20296527232173,1.63642599208571,9.29400363989538,0,1,-0.0866377080713411,-0.908523784124828,1.96572047164965,3.17978543769988
